"id";"title";"description";"image"
"17";"Guns, germs, and steel";"SUBJECTS prize:pulitzer=1998, Ethnology, Criticism and interpretation, Culture diffusion, Effect of environment on, Civilization, Human beings, Social evolution, History, Sociale evolutie, Cultuur, Évolution sociale, Geografia (historia), Geologia historica, Civilisation, Influence de l'environnement, Influence sur la nature, Histoire, Diffusion culturelle, Historia, Effets de l'environnement, Ethnologie, Homme, Long Now Manual for Civilization, Biological Evolution, Verden, Social anthropology, Entwicklung, Geschichte, Etnologia (evolução;civilização;cultura), Civilização (história), Gesellschaft, Ciências humanas, Zivilisation, Menschheit, World, Cultural Evolution, Historie, Soziale Evolution, 15.50 general world history; history of great parts of the world, peoples, civilizations: general, Natuurlijke hulpbronnen, Wereldgeschiedenis, Methods, Medical Sociology, Culturele verschillen, Social Environment, Human beings, effect of environment on, Civilization, history.";"https://covers.openlibrary.org/b/id/8623312-L.jpg"
"18";"Zen and the art of motorcycle maintenance";"""The real cycle you're working on is a cycle called 'yourself.'""One of the most important and influential books of the past half-century, Robert M. Pirsig's Zen and the Art of Motorcycle Maintenance is a powerful, moving, and penetrating examination of how we live and a meditation on how to live better. The narrative of a father on a summer motorcycle trip across America's Northwest with his young son, it becomes a profound personal and philosophical odyssey into life's fundamental questions. A true modern classic, it remains at once touching and transcendent, resonant with the myriad confusions of existence and the small, essential triumphs that propel us forward.";"https://covers.openlibrary.org/b/id/7063599-L.jpg"
"19";"Ender's Game";"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.";"https://covers.openlibrary.org/b/id/9255401-L.jpg"
"20";"The Blue Sword";"Harry Crewe is an orphan girl who comes to live in Damar, the desert country shared by the Homelanders and the secretive, magical Free Hillfolk. When Corlath, the Hillfolk King sees her for the first time, he is shaken--for he can tell that she is something more than she appears to be. He will soon realize what Harry has never guessed: She is to become Harimad-sol, King's rider, and carry the Blue Sword. Gonturan, which no woman has wielded since the legendary Lady Aerin, generations past.";"https://covers.openlibrary.org/b/id/8743061-L.jpg"
"21";"The Clan of the Cave Bear";"In this first book of the beloved Earth's Children® series, Jean M. Auel takes readers back to the dawn of mankind and sweeps them up into the amazing and wonderful world of Ayla, one of the most remarkable heroines ever imagined.

Over 30,000 years ago, in a world we know but would not recognize, a young girl of five plays by herself on a creek bank. Suddenly, her world shifts, as a cataclysmic earthquake leaves her an orphan in a harsh Ice Age landscape.

A way away, a group of people now called Neanderthals also finds their world changed, as the quake destroys the cave they've called home. They must journey to find a new place to live.

It is during this odyssey that the Clan of the Cave Bear first encounters the lost child of “The Others” named Ayla. She is starving and half-dead from a wound on her thigh made by a cave lion defending her cubs. A medicine woman from the Clan, named Iza, receives permission to try to heal her. Despite her advanced pregnancy and the large load she is already carrying, Iza will not leave the child to the elements. Iza carries her along with the Clan, determined to heal her, and survive this trial. Iza and Creb, the old Mog-ur (magician), grow to love her, and as Ayla learns the ways of the Clan and Iza's way of healing, most come to accept her. But the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. He develops a deep and abiding hatred for the strange girl of the Others who lives in their midst, and is determined to get his revenge.

Thus begins the epic tale of Ayla–blonde, blue-eyed, straight-legged, and vocal--considered bizarre and unattractive by her adoptive Clan. In Ayla's story readers find what very well may be the story of human survival, for it is by wit, instinct, adaptation, and gathering knowledge that Ayla thrives among a people who are not like her, in a society that sees her as strange, in a world where elements, animals, and the enmity of others make surviving each day a challenge.
";"https://covers.openlibrary.org/b/id/8579659-L.jpg"
"22";"Measuring the world";"At the end of the eighteenth century, two young Germans set out to measure the world, as Alexander von Humboldt journeys to unexplored regions of the planet, and Carl Friedrich Gauss uses his mathematical skills to solve some of the greatest puzzles of his age.";"https://covers.openlibrary.org/b/id/6775001-L.jpg"
"23";"Charlotte's Web";"This is the story of a little girl named Fern who loved a little pig named Wilbur - and of Wilbur's dear friend Charlotte A. Cavatica, a beautiful large grey spider who lived with Wilbur in the barn. With the help of Templeton, the rat who never did anything for anybody unless there was something in it for him, and by a wonderfully clever plan of her own, Charlotte saved the life of Wilbur, who by this time had grown up to be quite a pig.";"https://covers.openlibrary.org/b/id/8461783-L.jpg"
"24";"Neuromancer";"From GoodReads.com ""Hotwired to the leading edges of art and technology, Neuromancer is a cyberpunk, science fiction masterpiece—a classic that ranks with 1984 and Brave New World as one of the twentieth century’s most potent visions of the future.";"https://covers.openlibrary.org/b/id/8231867-L.jpg"
"25";"Things Fall Apart";"First published in England in 1958, THINGS FALL APART is Chinua Achebe's first and most famous novel, a classic of modern African writing. It is the story of a ""strong' mand whose life is dominated by fear and anger, a powerful and moving narrative that critics have compared with classic Greek tragedy. Written with remarkable economy and subtle irony, it is uniquely and richly African and at the same time reveals Achebe's keen awareness of the human qualities common to men of all times and places.";"https://covers.openlibrary.org/b/id/8372035-L.jpg"
"26";"A clash of kings";"Here is the second volume in George R. R. Martin's cycle of novels that includes A Game of Thrones and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced.";"https://covers.openlibrary.org/b/id/6917749-L.jpg"
"27";"I Am a Strange Loop";"Hofstadter's long-awaited return to the themes of Gödel, Escher, Bach--an original and controversial view of the nature of consciousness and identity. What do we mean when we say ""I""? Can a self, a soul, a consciousness, an ""I"" arise out of mere matter? If it cannot, then how can you or I be here? This book argues that the key to understanding selves and consciousness is a special kind of abstract feedback loop inhabiting our brains. Deep down, a human brain is a chaotic soup of particles, on a higher level it is a jungle of neurons, and on a yet higher level it is a network of abstractions that we call ""symbols."" The most central and complex symbol in your brain or mine is the one we both call ""I."" But how can such a mysterious abstraction be real--or is our ""I"" merely a convenient fiction?--From publisher description.";"https://covers.openlibrary.org/b/id/8312244-L.jpg"
"28";"Black wind";"Legendary oceanographer Dirk Pitt must work with his children to unravel old battle plans from WWII to prevent a present-day massacre in this novel in the #1 New York Times-bestselling adventure series.";"https://covers.openlibrary.org/b/id/8231873-L.jpg"
"29";"Freakonomics";"Which is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime?";"https://covers.openlibrary.org/b/id/8386919-L.jpg"
"30";"The Bean Trees";"SUBJECTS Indian children, Friendship in fiction, Literature, Indian children in fiction, Bildungsromans, Automobile travel in fiction, Fiction, Women travelers in fiction, Automobile travel, Young women in fiction, Orphans in fiction, Young women, Travel, Friendship, Orphans, Women travelers, Abandoned children, Modern Literature";"https://covers.openlibrary.org/b/id/8231861-L.jpg"
"31";"Lonesome Dove";"A love story, an adventure, and an epic of the frontier, Larry McMurtry?s Pulitzer Prize? winning classic, Lonesome Dove, the third book in the Lonesome Dove tetralogy, is the grandest novel ever written about the last defiant wilderness of America. Journey to the dusty little Texas town of Lonesome Dove and meet an unforgettable assortment of heroes and outlaws, whores and ladies, Indians and settlers. Richly authentic, beautifully written, always dramatic, Lonesome Dove is a book to make us laugh, weep, dream, and remember.";"https://covers.openlibrary.org/b/id/8376233-L.jpg"
"32";"Sula";"Two girls who grow up to become women. Two friends who become something worse than enemies. In this brilliantly imagined novel, Toni Morrison tells the story of Nel Wright and Sula Peace, who meet as children in the small town of Medallion, Ohio. Their devotion is fierce enough to withstand bullies and the burden of a dreadful secret. It endures even after Nel has grown up to be a pillar of the black community and Sula has become a pariah. But their friendship ends in an unforgivable betrayal?or does it end? Terrifying, comic, ribald and tragic, Sula is a work that overflows with life.";"https://covers.openlibrary.org/b/id/8384002-L.jpg"
"33";"The Passage";"IT HAPPENED FAST.
THIRTY-TWO MINUTES FOR ONE WORLD TO DIE, ANOTHER TO BE BORN.

First, the unthinkable: a security breach at a secret U.S. government facility unleashes the monstrous product of a chilling military experiment. Then, the unspeakable: a night of chaos and carnage gives way to sunrise on a nation, and ultimately a world, forever altered. All that remains for the stunned survivors is the long fight ahead and a future ruled by fear--of darkness, of death, of a fate far worse.

As civilization swiftly crumbles into a primal landscape of predators and prey, two people flee in search of sanctuary. FBI agent Brad Wolgast is a good man haunted by what he's done in the line of duty. Six-year-old orphan Amy Harper Bellafonte is a refugee from the doomed scientific project that has triggered apocalypse. Wolgast is determined to protect her from the horror set loose by her captors, but for Amy, escaping the bloody fallout is only the beginning of a much longer odyssey--spanning miles and decades--toward the time an place where she must finish what should never have begun.

With The Passage, award-winning author Justin Cronin has written both a relentlessly suspenseful adventure and an epic chronicle of human endurance in the face of unprecedented catastrophe and unimaginable danger. Its inventive storytelling, masterly prose, and depth of human insight mark it as a crucial and transcendent work of modern fiction.";"https://covers.openlibrary.org/b/id/8261369-L.jpg"
"34";"Disgrace";"At fifty-two, Professor David Lurie is divorced, filled with desire, but lacking in passion. When an affair with a student leaves him jobless, shunned by friends, and ridiculed by his ex-wife, he retreats to his daughter Lucy's smallholding. David's visit becomes an extended stay as he attempts to find meaning in his one remaining relationship. Instead, an incident of unimaginable terror and violence forces father and daughter to confrong their strained relationship--and the equally complicated racial complexities of the new South Africa.";"https://covers.openlibrary.org/b/id/8372618-L.jpg"
"35";"Hearts in Atlantis";"Five interconnected, sequential narratives, set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War.";"https://covers.openlibrary.org/b/id/8536326-L.jpg"
"36";"Catch-22";"Catch-22 is like no other novel. It has its own rationale, its own extraordinary character. It moves back and forth from hilarity to horror. It is outrageously funny and strangely affecting. It is totally original. Set in the closing months of World War II in an American bomber squadron off Italy, Catch-22 is the story of a bombardier named Yossarian, who is frantic and furious because thousands of people he hasn't even met keep trying to kill him. Catch-22 is a microcosm of the twentieth-century world as it might look to someone dangerously sane. It is a novel that lives and moves and grows with astonishing power and vitality -- a masterpiece of our time. - Back cover.";"https://covers.openlibrary.org/b/id/7877422-L.jpg"
"37";"Beloved";"Toni Morrison--author of Song of Solomon and Tar Baby--is a writer of remarkable powers: her novels, brilliantly acclaimed for their passion, their dazzling language and their lyric and emotional force, combine the unassailable truths of experience and emotion with the vision of legend and imagination.";"https://covers.openlibrary.org/b/id/9317256-L.jpg"
"38";"Debt";"The author shows that before there was money, there was debt. For 5,000 years humans have lived in societies divided into debtors and creditors. For 5,000 years debt and debt forgiveness have been at the center of political debates, laws and religions. The words ?guilt,? ?sin,? and ?redemption? come from ancient debates about debt. These terms and the ideas of debt shape our most basic ideas of right and wrong.?source";"https://covers.openlibrary.org/b/id/9074590-L.jpg"
"39";"The Kite Runner";"?It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime.""

Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.

The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father?s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons?their love, their sacrifices, their lies.

A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.";"https://covers.openlibrary.org/b/id/9248221-L.jpg"
"40";"Innumeracy";"SUBJECTS Mathematical ability, Mathematics, Number concept, Popular works, Ouvrages de vulgarisation, Wiskunde, Math?matiques, Long Now Manual for Civilization, Mathematics, popular works";"https://covers.openlibrary.org/b/id/7017231-L.jpg"
